year_month,year,month,date,region,area_code,average_price,house_price_index,sales_volume,detached_price,semi_detached_price,terraced_price,flat_price,cash_price,mortgage_price,bank_rate,economic_activity_rate,employment_rate,unemployment_rate
2015-01,2015,1,2015-01-01,East,E12000006,225847,66.3,7134.0,347142.0,226476.0,187993.0,145959.0,221684.0,227208.0,0.5,80.7,76.6,5.1
2015-02,2015,2,2015-02-01,East,E12000006,226943,66.6,7239.0,348986.0,226918.0,188802.0,147303.0,223184.0,228105.0,0.5,80.6,76.5,5
2015-03,2015,3,2015-03-01,East,E12000006,227055,66.7,7935.0,350068.0,227848.0,188325.0,146715.0,223158.0,228284.0,0.5,80.5,76.8,4.6
2015-04,2015,4,2015-04-01,East,E12000006,229445,67.4,7609.0,351886.0,229623.0,191804.0,148208.0,224813.0,231021.0,0.5,80.5,76.9,4.5
2015-05,2015,5,2015-05-01,East,E12000006,232551,68.3,8755.0,355779.0,233438.0,193943.0,150765.0,228081.0,234040.0,0.5,80.4,76.5,4.8
2015-06,2015,6,2015-06-01,East,E12000006,233631,68.6,9915.0,356422.0,234736.0,196071.0,150393.0,228784.0,235299.0,0.5,80.8,76.8,4.9
2015-07,2015,7,2015-07-01,East,E12000006,239245,70.2,11447.0,366440.0,240389.0,199794.0,154243.0,234359.0,240915.0,0.5,81,77,4.9
2015-08,2015,8,2015-08-01,East,E12000006,241945,71.0,10468.0,370387.0,243059.0,202414.0,155686.0,236569.0,243846.0,0.5,81,77.4,4.4
2015-09,2015,9,2015-09-01,East,E12000006,244652,71.8,9870.0,377475.0,244845.0,203625.0,157589.0,240034.0,246177.0,0.5,81.1,77.7,4.1
2015-10,2015,10,2015-10-01,East,E12000006,245823,72.2,11188.0,377074.0,246997.0,205369.0,157988.0,240347.0,247761.0,0.5,81.3,78.1,4
2015-11,2015,11,2015-11-01,East,E12000006,249124,73.1,9796.0,381915.0,250546.0,207737.0,160551.0,243347.0,251198.0,0.5,81,77.9,3.8
2015-12,2015,12,2015-12-01,East,E12000006,250225,73.5,10283.0,383522.0,251298.0,208789.0,161474.0,244231.0,252401.0,0.5,81.2,78,3.9
2016-01,2016,1,2016-01-01,East,E12000006,252519,74.1,7539.0,385586.0,255055.0,210179.0,163315.0,246060.0,254915.0,0.5,81,78,3.6
2016-02,2016,2,2016-02-01,East,E12000006,252732,74.2,8413.0,386351.0,254368.0,210651.0,163594.0,246508.0,255013.0,0.5,80.9,77.9,3.6
2016-03,2016,3,2016-03-01,East,E12000006,256923,75.4,14500.0,394737.0,257253.0,213650.0,166795.0,251290.0,258904.0,0.5,80.6,77.4,4
2016-04,2016,4,2016-04-01,East,E12000006,256970,75.4,6391.0,389859.0,258246.0,215710.0,166836.0,249901.0,259650.0,0.5,80.7,77.6,3.9
2016-05,2016,5,2016-05-01,East,E12000006,261564,76.8,7417.0,393802.0,262391.0,219302.0,172812.0,254426.0,264264.0,0.5,80.8,77.7,3.8
2016-06,2016,6,2016-06-01,East,E12000006,264489,77.6,9223.0,403263.0,264684.0,220840.0,172879.0,257835.0,266944.0,0.5,80.8,78,3.6
2016-07,2016,7,2016-07-01,East,E12000006,267798,78.6,9609.0,406127.0,268991.0,224360.0,174682.0,260204.0,270703.0,0.5,80.8,78.1,3.4
2016-08,2016,8,2016-08-01,East,E12000006,268266,78.8,9912.0,407624.0,269248.0,224240.0,175290.0,261564.0,270733.0,0.5,80.9,77.6,4.1
2016-09,2016,9,2016-09-01,East,E12000006,270191,79.3,9296.0,412677.0,271566.0,224820.0,176007.0,263061.0,272862.0,0.25,80.8,77.3,4.4
2016-10,2016,10,2016-10-01,East,E12000006,269689,79.2,8682.0,413421.0,271141.0,223056.0,176296.0,262796.0,272245.0,0.25,80.5,76.8,4.7
2016-11,2016,11,2016-11-01,East,E12000006,270473,79.4,9108.0,415082.0,271338.0,223630.0,177140.0,263951.0,272847.0,0.25,80.4,76.6,4.7
2016-12,2016,12,2016-12-01,East,E12000006,273009,80.1,9314.0,418679.0,273352.0,226100.0,179019.0,266407.0,275414.0,0.25,80.3,76.7,4.5
2017-01,2017,1,2017-01-01,East,E12000006,272123,79.9,7026.0,417475.0,273478.0,225167.0,177633.0,265082.0,274744.0,0.25,80.2,76.6,4.5
2017-02,2017,2,2017-02-01,East,E12000006,274329,80.5,7400.0,418882.0,273750.0,226654.0,182525.0,268125.0,276570.0,0.25,80.6,77,4.4
2017-03,2017,3,2017-03-01,East,E12000006,272504,80.0,8881.0,418137.0,273026.0,224736.0,179479.0,266125.0,274828.0,0.25,80.8,77.5,4
2017-04,2017,4,2017-04-01,East,E12000006,276523,81.2,7485.0,423574.0,276798.0,228647.0,182107.0,270101.0,278858.0,0.25,80.8,77.3,4.2
2017-05,2017,5,2017-05-01,East,E12000006,279053,81.9,8221.0,424101.0,280479.0,230026.0,185810.0,272687.0,281358.0,0.25,80.8,77.4,4.2
2017-06,2017,6,2017-06-01,East,E12000006,280366,82.3,9878.0,427269.0,281000.0,232004.0,185535.0,273974.0,282679.0,0.25,80.7,77.3,4.3
2017-07,2017,7,2017-07-01,East,E12000006,284682,83.6,8986.0,433983.0,286102.0,235232.0,188019.0,278302.0,286982.0,0.25,80.9,77.8,3.9
2017-08,2017,8,2017-08-01,East,E12000006,284475,83.5,10124.0,433386.0,285322.0,236352.0,187022.0,277919.0,286854.0,0.25,80.9,77.7,4
2017-09,2017,9,2017-09-01,East,E12000006,285274,83.7,9298.0,437931.0,286298.0,235930.0,186532.0,279245.0,287416.0,0.25,80.8,77.9,3.6
2017-10,2017,10,2017-10-01,East,E12000006,285404,83.8,9203.0,439125.0,287907.0,235565.0,185233.0,279128.0,287655.0,0.25,81,78,3.7
2017-11,2017,11,2017-11-01,East,E12000006,284088,83.4,9100.0,434911.0,286084.0,234770.0,185877.0,277838.0,286330.0,0.25,81.7,78.6,3.8
2017-12,2017,12,2017-12-01,East,E12000006,285947,83.9,8965.0,437817.0,287460.0,237069.0,186584.0,279441.0,288301.0,0.5,81.6,78.1,4.3
2018-01,2018,1,2018-01-01,East,E12000006,285873,83.9,6952.0,438286.0,288628.0,235914.0,186366.0,279163.0,288318.0,0.5,81.3,77.8,4.3
2018-02,2018,2,2018-02-01,East,E12000006,285219,83.7,6994.0,438887.0,286967.0,235650.0,185450.0,278753.0,287555.0,0.5,81,77.9,3.8
2018-03,2018,3,2018-03-01,East,E12000006,283450,83.2,8068.0,435245.0,285927.0,234998.0,183283.0,276645.0,285944.0,0.5,81.4,78.3,3.8
2018-04,2018,4,2018-04-01,East,E12000006,284595,83.5,6977.0,436287.0,287713.0,236614.0,183143.0,277890.0,287041.0,0.5,81.5,78.5,3.6
2018-05,2018,5,2018-05-01,East,E12000006,285156,83.7,8271.0,438860.0,288445.0,236657.0,182627.0,278674.0,287500.0,0.5,81.5,78.6,3.5
2018-06,2018,6,2018-06-01,East,E12000006,286389,84.1,8894.0,439596.0,290095.0,237027.0,184606.0,280122.0,288633.0,0.5,81.3,78.6,3.3
2018-07,2018,7,2018-07-01,East,E12000006,290809,85.4,8584.0,448997.0,294003.0,240843.0,185983.0,284619.0,293010.0,0.5,81,78.5,3.1
2018-08,2018,8,2018-08-01,East,E12000006,290907,85.4,10245.0,447589.0,294136.0,241822.0,186062.0,284562.0,293177.0,0.5,80.9,78.5,3
2018-09,2018,9,2018-09-01,East,E12000006,289461,85.0,8082.0,447001.0,293156.0,239750.0,184539.0,283403.0,291606.0,0.75,80.9,78.4,3.1
2018-10,2018,10,2018-10-01,East,E12000006,289927,85.1,8929.0,447945.0,293218.0,239636.0,185654.0,283843.0,292083.0,0.75,80.7,78.3,2.9
2018-11,2018,11,2018-11-01,East,E12000006,290306,85.2,9572.0,449971.0,294100.0,240151.0,184185.0,284528.0,292323.0,0.75,81.2,78.7,3.1
2018-12,2018,12,2018-12-01,East,E12000006,287775,84.5,8146.0,442998.0,291745.0,237683.0,184939.0,281959.0,289815.0,0.75,81.3,79,2.9
2019-01,2019,1,2019-01-01,East,E12000006,285588,83.8,6373.0,444532.0,289580.0,235308.0,180740.0,279897.0,287575.0,0.75,81.9,79.3,3.2
2019-02,2019,2,2019-02-01,East,E12000006,286748,84.2,6757.0,444066.0,290172.0,236960.0,182879.0,280513.0,288950.0,0.75,81.8,79.2,3.2
2019-03,2019,3,2019-03-01,East,E12000006,283751,83.3,7531.0,437795.0,288083.0,235241.0,180262.0,276521.0,286353.0,0.75,81.8,79.4,3
2019-04,2019,4,2019-04-01,East,E12000006,284922,83.6,7114.0,439079.0,289341.0,236896.0,180493.0,277890.0,287444.0,0.75,81.7,79.2,3.1
2019-05,2019,5,2019-05-01,East,E12000006,285640,83.9,7663.0,440755.0,289979.0,237666.0,180418.0,279845.0,287668.0,0.75,81.2,78.9,2.9
2019-06,2019,6,2019-06-01,East,E12000006,285274,83.7,8059.0,440108.0,289398.0,237049.0,180839.0,279671.0,287227.0,0.75,81.6,79.2,3
2019-07,2019,7,2019-07-01,East,E12000006,288264,84.6,9064.0,444034.0,292190.0,239705.0,183275.0,281488.0,290680.0,0.75,81.7,79.2,3.1
2019-08,2019,8,2019-08-01,East,E12000006,287428,84.4,9232.0,444433.0,291412.0,239928.0,180352.0,280881.0,289753.0,0.75,81.3,78.6,3.4
2019-09,2019,9,2019-09-01,East,E12000006,288709,84.8,8319.0,444786.0,291493.0,241074.0,183495.0,282822.0,290771.0,0.75,80.8,78.1,3.3
2019-10,2019,10,2019-10-01,East,E12000006,287808,84.5,8897.0,443480.0,293506.0,239169.0,181246.0,281668.0,289972.0,0.75,80.6,78,3.2
2019-11,2019,11,2019-11-01,East,E12000006,285806,83.9,8915.0,443417.0,291243.0,237125.0,178494.0,280258.0,287737.0,0.75,81.1,78.4,3.3
