region,mean_actual_price,mean_predicted_price,mae
London,557917.72,555017.0671018667,8507.114832570072
East Midlands,237004.8,231497.52536655896,6142.400527209242
North West,210135.48,204648.35571929906,6000.3195415830205
South East,378683.48,373914.9972693209,5998.230511239222
Yorkshire and The Humber,202367.36,197186.6195985208,5834.881165116371
Northern Ireland,187223.16,181523.42157720562,5699.738422794373
East,333580.84,328840.62761902506,5652.109357473932
West Midlands,243784.12,238443.25494225335,5567.7410424052105
Scotland,186788.52,182525.33213713695,5502.612976929024
North East,157392.48,152848.09296409073,5386.046871897839
South West,301142.32,296982.18377513374,5333.046201052307
Wales,207667.36,202396.97778873943,5270.382211260565
