feature,coefficient,absolute_coefficient
num__lag1_price,107797.89965621401,107797.89965621401
cat__region_London,10968.518942940485,10968.518942940485
cat__region_North East,-4634.2842160973205,4634.2842160973205
cat__region_South East,3578.251292025555,3578.251292025555
cat__region_Yorkshire and The Humber,-3351.7471398425537,3351.7471398425537
cat__region_North West,-3308.7538243152903,3308.7538243152903
cat__country_England,2469.888284356837,2469.888284356837
cat__region_East,2048.4651744034218,2048.4651744034218
cat__region_East Midlands,-1995.8069227366275,1995.8069227366275
num__annual_change_pct,1631.5026820481808,1631.5026820481808
cat__region_West Midlands,-1438.885057539897,1438.885057539897
cat__country_Northern Ireland,-1259.96366115616,1259.96366115616
cat__region_Northern Ireland,-1259.963661155284,1259.963661155284
num__bank_rate,-1165.6483204982887,1165.6483204982887
num__employment_rate,-920.816947085648,920.816947085648
num__economic_activity_rate,783.7983888240769,783.7983888240769
cat__region_Scotland,-726.979550627992,726.979550627992
cat__country_Scotland,-726.979550627168,726.979550627168
num__unemployment_rate,-629.4557208280094,629.4557208280094
cat__region_South West,604.130035434387,604.130035434387
cat__region_Wales,-482.94507256115077,482.94507256115077
cat__country_Wales,-482.9450725598544,482.9450725598544
